ProductKey;CustomerKey;UnitPrice;OrderQuantity;SalesAmount;SalesOrderNumber;OrderDate;FirstName;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;YearlyIncome;NumberCarsOwned;GeographyKey;City;StateProvinceName;EnglishCountryRegionName;SalesTerritoryKey;EnglishProductName;ProductSubcategoryKey;EnglishProductSubcategoryName;ProductCategoryKey;EnglishProductCategoryName
310;21768;3578,27;1;3578,27;SO43697;2010-12-29 00:00:00.000;Cole;Watson;1952-02-19;S;M;cole1@adventure-works.com;70000,00;3;53;Metchosin;British Columbia;Canada;6;Road-150 Red, 62;2;Road Bikes;1;Bikes
346;28389;3399,99;1;3399,99;SO43698;2010-12-29 00:00:00.000;Rachael;Martinez;1970-06-17;S;F;rachael16@adventure-works.com;20000,00;0;222;Pantin;Seine Saint Denis;France;7;Mountain-100 Silver, 44;1;Mountain Bikes;1;Bikes
346;25863;3399,99;1;3399,99;SO43699;2010-12-29 00:00:00.000;Sydney;Wright;1952-06-01;S;F;sydney61@adventure-works.com;40000,00;3;543;Lebanon;Oregon;United States;1;Mountain-100 Silver, 44;1;Mountain Bikes;1;Bikes
336;14501;699,0982;1;699,0982;SO43700;2010-12-29 00:00:00.000;Ruben;Prasad;1943-11-10;M;M;ruben10@adventure-works.com;80000,00;2;300;Beverly Hills;California;United States;4;Road-650 Black, 62;2;Road Bikes;1;Bikes
346;11003;3399,99;1;3399,99;SO43701;2010-12-29 00:00:00.000;Christy;Zhu;1973-08-14;S;F;christy12@adventure-works.com;70000,00;1;11;North Ryde;New South Wales;Australia;9;Mountain-100 Silver, 44;1;Mountain Bikes;1;Bikes
311;27645;3578,27;1;3578,27;SO43702;2010-12-30 00:00:00.000;Colin;Anand;1972-08-14;M;M;colin45@adventure-works.com;120000,00;4;312;Coronado;California;United States;4;Road-150 Red, 44;2;Road Bikes;1;Bikes
310;16624;3578,27;1;3578,27;SO43703;2010-12-30 00:00:00.000;Albert;Alvarez;1983-07-24;S;M;albert7@adventure-works.com;90000,00;3;30;Perth;South Australia;Australia;9;Road-150 Red, 62;2;Road Bikes;1;Bikes
351;11005;3374,99;1;3374,99;SO43704;2010-12-30 00:00:00.000;Julio;Ruiz;1976-08-01;S;M;julio1@adventure-works.com;70000,00;1;22;East Brisbane;Queensland;Australia;9;Mountain-100 Black, 48;1;Mountain Bikes;1;Bikes
344;11011;3399,99;1;3399,99;SO43705;2010-12-30 00:00:00.000;Curtis;Lu;1969-05-03;M;M;curtis9@adventure-works.com;60000,00;4;22;East Brisbane;Queensland;Australia;9;Mountain-100 Silver, 38;1;Mountain Bikes;1;Bikes
312;27621;3578,27;1;3578,27;SO43706;2010-12-31 00:00:00.000;Edward;Brown;1975-01-23;S;M;edward26@adventure-works.com;160000,00;4;369;Santa Monica;California;United States;4;Road-150 Red, 48;2;Road Bikes;1;Bikes
312;27616;3578,27;1;3578,27;SO43707;2010-12-31 00:00:00.000;Emma;Brown;1971-06-10;S;F;emma3@adventure-works.com;120000,00;4;335;Lemon Grove;California;United States;4;Road-150 Red, 48;2;Road Bikes;1;Bikes
330;20042;699,0982;1;699,0982;SO43708;2010-12-31 00:00:00.000;Brad;Deng;1979-11-01;M;M;brad2@adventure-works.com;40000,00;0;268;Liverpool;England;United Kingdom;10;Road-650 Red, 52;2;Road Bikes;1;Bikes
313;16351;3578,27;1;3578,27;SO43709;2010-12-31 00:00:00.000;Martha;Xu;1960-01-04;S;F;martha12@adventure-works.com;80000,00;2;26;Rockhampton;Queensland;Australia;9;Road-150 Red, 52;2;Road Bikes;1;Bikes
314;16517;3578,27;1;3578,27;SO43710;2010-12-31 00:00:00.000;Katrina;Raji;1981-09-16;M;F;katrina20@adventure-works.com;10000,00;0;19;Wollongong;New South Wales;Australia;9;Road-150 Red, 56;2;Road Bikes;1;Bikes
314;27606;3578,27;1;3578,27;SO43711;2011-01-01 00:00:00.000;Courtney;Edwards;1962-11-24;S;F;courtney1@adventure-works.com;70000,00;0;545;Milwaukie;Oregon;United States;1;Road-150 Red, 56;2;Road Bikes;1;Bikes
311;13513;3578,27;1;3578,27;SO43712;2011-01-01 00:00:00.000;Abigail;Henderson;1947-03-08;M;F;abigail73@adventure-works.com;30000,00;0;162;Werne;Nordrhein-Westfalen;Germany;8;Road-150 Red, 44;2;Road Bikes;1;Bikes
310;27601;3578,27;1;3578,27;SO43713;2011-01-02 00:00:00.000;Sydney;Rogers;1970-05-06;S;F;sydney3@adventure-works.com;60000,00;3;301;Burbank;California;United States;4;Road-150 Red, 62;2;Road Bikes;1;Bikes
311;13591;3578,27;1;3578,27;SO43714;2011-01-02 00:00:00.000;Latasha;Alonso;1964-05-21;M;F;latasha8@adventure-works.com;170000,00;3;278;York;England;United Kingdom;10;Road-150 Red, 44;2;Road Bikes;1;Bikes
314;16483;3578,27;1;3578,27;SO43715;2011-01-02 00:00:00.000;Warren;Jai;1961-10-13;M;M;warren42@adventure-works.com;40000,00;2;35;Melbourne;Victoria;Australia;9;Road-150 Red, 56;2;Road Bikes;1;Bikes
311;16529;3578,27;1;3578,27;SO43716;2011-01-02 00:00:00.000;Jonathon;Gutierrez;1983-01-25;M;M;jonathon8@adventure-works.com;20000,00;0;4;Goulburn;New South Wales;Australia;9;Road-150 Red, 44;2;Road Bikes;1;Bikes
336;25249;699,0982;1;699,0982;SO43717;2011-01-02 00:00:00.000;Alexandra;Watson;1963-02-05;S;F;alexandra20@adventure-works.com;70000,00;1;4;Goulburn;New South Wales;Australia;9;Road-650 Black, 62;2;Road Bikes;1;Bikes
311;27668;3578,27;1;3578,27;SO43718;2011-01-03 00:00:00.000;Kevin;Gonzalez;1959-04-25;S;M;kevin46@adventure-works.com;70000,00;2;623;Kirkland;Washington;United States;1;Road-150 Red, 44;2;Road Bikes;1;Bikes
312;27612;3578,27;1;3578,27;SO43719;2011-01-03 00:00:00.000;Lucas;Hill;1978-11-18;M;M;lucas45@adventure-works.com;60000,00;2;299;Berkeley;California;United States;4;Road-150 Red, 48;2;Road Bikes;1;Bikes
311;13264;3578,27;1;3578,27;SO43720;2011-01-03 00:00:00.000;Melanie;Sanchez;1961-11-20;M;F;melanie47@adventure-works.com;120000,00;4;121;Ingolstadt;Bayern;Germany;8;Road-150 Red, 44;2;Road Bikes;1;Bikes
310;13590;3578,27;1;3578,27;SO43721;2011-01-03 00:00:00.000;Louis;Xie;1958-11-15;M;M;louis20@adventure-works.com;170000,00;3;277;York;England;United Kingdom;10;Road-150 Red, 62;2;Road Bikes;1;Bikes
312;13581;3578,27;1;3578,27;SO43722;2011-01-04 00:00:00.000;Albert;Blanco;1952-04-17;M;M;albert15@adventure-works.com;130000,00;4;237;Esher-Molesey;England;United Kingdom;10;Road-150 Red, 48;2;Road Bikes;1;Bikes
332;14520;699,0982;1;699,0982;SO43723;2011-01-04 00:00:00.000;Bonnie;Xu;1984-06-16;S;F;bonnie10@adventure-works.com;40000,00;1;611;Bremerton;Washington;United States;1;Road-650 Black, 58;2;Road Bikes;1;Bikes
311;16520;3578,27;1;3578,27;SO43724;2011-01-04 00:00:00.000;Misty;Raji;1982-04-22;M;F;misty23@adventure-works.com;10000,00;0;32;Bendigo;Victoria;Australia;9;Road-150 Red, 44;2;Road Bikes;1;Bikes
311;13258;3578,27;1;3578,27;SO43725;2011-01-05 00:00:00.000;Anne;Dominguez;1962-08-31;M;F;anne14@adventure-works.com;130000,00;2;133;Kassel;Hessen;Germany;8;Road-150 Red, 44;2;Road Bikes;1;Bikes
332;14560;699,0982;1;699,0982;SO43726;2011-01-05 00:00:00.000;Kelvin;Huang;1976-03-31;M;M;kelvin25@adventure-works.com;50000,00;1;298;Bellflower;California;United States;4;Road-650 Black, 58;2;Road Bikes;1;Bikes
311;16607;3578,27;1;3578,27;SO43727;2011-01-05 00:00:00.000;Logan;Gonzales;1981-02-23;M;M;logan18@adventure-works.com;70000,00;3;20;Brisbane;Queensland;Australia;9;Road-150 Red, 44;2;Road Bikes;1;Bikes
313;27666;3578,27;1;3578,27;SO43728;2011-01-06 00:00:00.000;Alyssa;Garcia;1960-01-23;M;F;alyssa16@adventure-works.com;60000,00;2;322;Fremont;California;United States;4;Road-150 Red, 52;2;Road Bikes;1;Bikes
346;11238;3399,99;1;3399,99;SO43729;2011-01-06 00:00:00.000;Mayra;Prasad;1964-02-07;S;F;mayra9@adventure-works.com;130000,00;4;232;Birmingham;England;United Kingdom;10;Mountain-100 Silver, 44;1;Mountain Bikes;1;Bikes
346;25861;3399,99;1;3399,99;SO43730;2011-01-06 00:00:00.000;Garrett;Cooper;1950-08-26;M;M;garrett13@adventure-works.com;30000,00;4;385;Woodland Hills;California;United States;4;Mountain-100 Silver, 44;1;Mountain Bikes;1;Bikes
314;16629;3578,27;1;3578,27;SO43731;2011-01-06 00:00:00.000;Rosa;Zheng;1978-03-13;S;F;rosa19@adventure-works.com;110000,00;4;8;Matraville;New South Wales;Australia;9;Road-150 Red, 56;2;Road Bikes;1;Bikes
350;11025;3374,99;1;3374,99;SO43732;2011-01-06 00:00:00.000;Alejandro;Beck;1951-06-22;M;M;alejandro45@adventure-works.com;10000,00;2;24;Hawthorne;Queensland;Australia;9;Mountain-100 Black, 44;1;Mountain Bikes;1;Bikes
312;27577;3578,27;1;3578,27;SO43733;2011-01-06 00:00:00.000;Patrick;Cook;1963-12-02;S;M;patrick26@adventure-works.com;60000,00;1;632;Port Orchard;Washington;United States;1;Road-150 Red, 48;2;Road Bikes;1;Bikes
312;27604;3578,27;1;3578,27;SO43734;2011-01-07 00:00:00.000;Richard;Brooks;1962-08-31;M;M;richard81@adventure-works.com;60000,00;2;632;Port Orchard;Washington;United States;1;Road-150 Red, 48;2;Road Bikes;1;Bikes
310;16522;3578,27;1;3578,27;SO43735;2011-01-07 00:00:00.000;Casey;Pal;1985-01-01;M;F;casey13@adventure-works.com;10000,00;0;21;Caloundra;Queensland;Australia;9;Road-150 Red, 62;2;Road Bikes;1;Bikes
346;11002;3399,99;1;3399,99;SO43736;2011-01-07 00:00:00.000;Ruben;Torres;1971-02-09;M;M;ruben35@adventure-works.com;60000,00;1;31;Hobart;Tasmania;Australia;9;Mountain-100 Silver, 44;1;Mountain Bikes;1;Bikes
311;13261;3578,27;1;3578,27;SO43737;2011-01-08 00:00:00.000;Lindsey;Andersen;1962-10-03;M;F;lindsey14@adventure-works.com;130000,00;2;160;Paderborn;Nordrhein-Westfalen;Germany;8;Road-150 Red, 44;2;Road Bikes;1;Bikes
312;11606;3578,27;1;3578,27;SO43738;2011-01-08 00:00:00.000;Melody;Ramos;1986-01-30;S;F;melody17@adventure-works.com;10000,00;2;212;Morangis;Essonne;France;7;Road-150 Red, 48;2;Road Bikes;1;Bikes
310;13563;3578,27;1;3578,27;SO43739;2011-01-08 00:00:00.000;Phillip;Sai;1975-01-29;M;M;phillip6@adventure-works.com;50000,00;0;269;Stoke-on-Trent;England;United Kingdom;10;Road-150 Red, 62;2;Road Bikes;1;Bikes
312;16527;3578,27;1;3578,27;SO43740;2011-01-08 00:00:00.000;Cory;Arun;1983-12-18;S;M;cory5@adventure-works.com;20000,00;0;9;Milsons Point;New South Wales;Australia;9;Road-150 Red, 48;2;Road Bikes;1;Bikes
310;27671;3578,27;1;3578,27;SO43741;2011-01-09 00:00:00.000;Jeremiah;Martinez;1958-09-01;S;M;jeremiah8@adventure-works.com;70000,00;2;607;Ballard;Washington;United States;1;Road-150 Red, 62;2;Road Bikes;1;Bikes
314;13576;3578,27;1;3578,27;SO43742;2011-01-09 00:00:00.000;Tamara;Lal;1961-06-17;S;F;tamara20@adventure-works.com;160000,00;3;256;London;England;United Kingdom;10;Road-150 Red, 56;2;Road Bikes;1;Bikes
347;11007;3399,99;1;3399,99;SO43743;2011-01-09 00:00:00.000;Marco;Mehta;1969-11-06;M;M;marco14@adventure-works.com;60000,00;2;40;Warrnambool;Victoria;Australia;9;Mountain-100 Silver, 48;1;Mountain Bikes;1;Bikes
313;16631;3578,27;1;3578,27;SO43744;2011-01-09 00:00:00.000;Haley;Ward;1976-09-16;S;F;haley13@adventure-works.com;90000,00;4;26;Rockhampton;Queensland;Australia;9;Road-150 Red, 52;2;Road Bikes;1;Bikes
311;16514;3578,27;1;3578,27;SO43745;2011-01-10 00:00:00.000;Manuel;Fernandez;1985-07-10;S;M;manuel14@adventure-works.com;10000,00;1;7;Malabar;New South Wales;Australia;9;Road-150 Red, 44;2;Road Bikes;1;Bikes
312;16616;3578,27;1;3578,27;SO43746;2011-01-10 00:00:00.000;Kelvin;Liang;1985-06-02;S;M;kelvin35@adventure-works.com;90000,00;2;30;Perth;South Australia;Australia;9;Road-150 Red, 48;2;Road Bikes;1;Bikes
314;27623;3578,27;1;3578,27;SO43747;2011-01-11 00:00:00.000;Christian;Jackson;1962-06-02;S;M;christian47@adventure-works.com;80000,00;1;336;Lincoln Acres;California;United States;4;Road-150 Red, 56;2;Road Bikes;1;Bikes
313;27625;3578,27;1;3578,27;SO43748;2011-01-11 00:00:00.000;Alexandria;Hughes;1961-09-29;S;F;alexandria11@adventure-works.com;90000,00;0;542;Lake Oswego;Oregon;United States;1;Road-150 Red, 52;2;Road Bikes;1;Bikes
314;27636;3578,27;1;3578,27;SO43749;2011-01-11 00:00:00.000;Paige;Murphy;1968-04-03;M;F;paige39@adventure-works.com;100000,00;3;618;Issaquah;Washington;United States;1;Road-150 Red, 56;2;Road Bikes;1;Bikes
311;11591;3578,27;1;3578,27;SO43750;2011-01-11 00:00:00.000;Stacey;Lu;1968-11-12;S;F;stacey12@adventure-works.com;30000,00;0;209;Versailles;Yveline;France;7;Road-150 Red, 44;2;Road Bikes;1;Bikes
313;11592;3578,27;1;3578,27;SO43751;2011-01-11 00:00:00.000;Darrell;Raji;1984-03-03;S;M;darrell9@adventure-works.com;20000,00;1;198;Paris;Seine (Paris);France;7;Road-150 Red, 52;2;Road Bikes;1;Bikes
311;13265;3578,27;1;3578,27;SO43752;2011-01-11 00:00:00.000;Luke;Adams;1961-07-21;S;M;luke46@adventure-works.com;120000,00;4;160;Paderborn;Nordrhein-Westfalen;Germany;8;Road-150 Red, 44;2;Road Bikes;1;Bikes
310;16482;3578,27;1;3578,27;SO43753;2011-01-11 00:00:00.000;Tabitha;Arthur;1955-11-12;M;F;tabitha5@adventure-works.com;30000,00;2;32;Bendigo;Victoria;Australia;9;Road-150 Red, 62;2;Road Bikes;1;Bikes
312;27617;3578,27;1;3578,27;SO43754;2011-01-12 00:00:00.000;Morgan;Phillips;1980-07-18;S;F;morgan4@adventure-works.com;90000,00;1;631;Olympia;Washington;United States;1;Road-150 Red, 48;2;Road Bikes;1;Bikes
311;27670;3578,27;1;3578,27;SO43755;2011-01-12 00:00:00.000;Kayla;Long;1970-01-01;S;F;kayla33@adventure-works.com;70000,00;2;347;Novato;California;United States;4;Road-150 Red, 44;2;Road Bikes;1;Bikes
332;19941;699,0982;1;699,0982;SO43756;2011-01-12 00:00:00.000;Cedric;Liang;1954-09-08;S;M;cedric16@adventure-works.com;160000,00;4;256;London;England;United Kingdom;10;Road-650 Black, 58;2;Road Bikes;1;Bikes
350;11017;3374,99;1;3374,99;SO43757;2011-01-12 00:00:00.000;Shannon;Wang;1949-12-24;S;F;shannon1@adventure-works.com;20000,00;2;39;Sunbury;Victoria;Australia;9;Mountain-100 Black, 44;1;Mountain Bikes;1;Bikes
