EmployeeKey;Date;SalesAmountQuota;FirstName;LastName;HireDate;BirthDate;Gender;EmailAddress
272;2010-12-29 00:00:00.000;28000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2010-12-29 00:00:00.000;367000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2010-12-29 00:00:00.000;637000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2010-12-29 00:00:00.000;565000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2010-12-29 00:00:00.000;244000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2010-12-29 00:00:00.000;669000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2010-12-29 00:00:00.000;165000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2010-12-29 00:00:00.000;460000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2010-12-29 00:00:00.000;525000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2010-12-29 00:00:00.000;226000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
272;2011-03-31 00:00:00.000;7000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2011-03-31 00:00:00.000;556000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2011-03-31 00:00:00.000;781000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2011-03-31 00:00:00.000;872000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2011-03-31 00:00:00.000;356000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2011-03-31 00:00:00.000;917000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2011-03-31 00:00:00.000;469000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2011-03-31 00:00:00.000;549000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2011-03-31 00:00:00.000;767000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2011-03-31 00:00:00.000;353000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
272;2011-07-01 00:00:00.000;91000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2011-07-01 00:00:00.000;502000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2011-07-01 00:00:00.000;665000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2011-07-01 00:00:00.000;846000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2011-07-01 00:00:00.000;266000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2011-07-01 00:00:00.000;780000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2011-07-01 00:00:00.000;264000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2011-07-01 00:00:00.000;473000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2011-07-01 00:00:00.000;583000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2011-07-01 00:00:00.000;280000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
272;2011-09-29 00:00:00.000;140000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2011-09-29 00:00:00.000;550000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2011-09-29 00:00:00.000;639000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2011-09-29 00:00:00.000;952000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2011-09-29 00:00:00.000;341000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2011-09-29 00:00:00.000;802000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2011-09-29 00:00:00.000;301000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2011-09-29 00:00:00.000;493000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2011-09-29 00:00:00.000;583000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2011-09-29 00:00:00.000;267000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
272;2011-12-29 00:00:00.000;70000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2011-12-29 00:00:00.000;1429000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2011-12-29 00:00:00.000;1355000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2011-12-29 00:00:00.000;1600000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2011-12-29 00:00:00.000;542000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2011-12-29 00:00:00.000;734000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2011-12-29 00:00:00.000;210000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2011-12-29 00:00:00.000;1034000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2011-12-29 00:00:00.000;496000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2011-12-29 00:00:00.000;483000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2011-12-29 00:00:00.000;93000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2011-12-29 00:00:00.000;1898000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2011-12-29 00:00:00.000;593000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
272;2012-03-30 00:00:00.000;154000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2012-03-30 00:00:00.000;1324000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2012-03-30 00:00:00.000;1009000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2012-03-30 00:00:00.000;1352000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2012-03-30 00:00:00.000;329000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2012-03-30 00:00:00.000;647000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2012-03-30 00:00:00.000;226000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2012-03-30 00:00:00.000;813000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2012-03-30 00:00:00.000;452000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2012-03-30 00:00:00.000;341000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2012-03-30 00:00:00.000;15000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2012-03-30 00:00:00.000;1262000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2012-03-30 00:00:00.000;409000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
293;2012-03-30 00:00:00.000;321000,00;Tete;Mensa-Annan;2012-04-30;1977-08-05;M;tete0@adventure-works.com
272;2012-06-30 00:00:00.000;107000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2012-06-30 00:00:00.000;729000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2012-06-30 00:00:00.000;860000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2012-06-30 00:00:00.000;839000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2012-06-30 00:00:00.000;239000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2012-06-30 00:00:00.000;571000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2012-06-30 00:00:00.000;190000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
